label,text
spam,Congratulations! You have won a free iPhone. Click here to claim now.
ham,"Hey, are we still meeting for lunch today?"
spam,You have been selected for a lottery prize. Reply with your details to claim.
ham,Can you send me the report by EOD?
spam,URGENT: Your bank account has been compromised. Call us immediately!
ham,Let's catch up over coffee this weekend.
spam,Limited offer! Buy now and get 50% off. Don't miss out!
ham,Your package has been shipped. Tracking number: 123456.
spam,Winner! You've won a free vacation. Click the link to confirm your spot.
ham,Just checking inâ€”hope you're doing well!
